PDB_ID	CIF_PATH	FILE_SIZE_BYTES	SHA256	EXCLUDED
1BZT	/storage9920/home/tinghao.xia/pdb_data/1bzt.cif	83187	42bc6066fc95d25a9ef3a563454a131333d03e205939ac329f263a445fdde06a	False
1BZU	/storage9920/home/tinghao.xia/pdb_data/1bzu.cif	83446	726fb370f11441a4ac98b51a3fbf3f5a3ec88f5e9f474d01d36aec8a79179b3b	False
1C0O	/storage9920/home/tinghao.xia/pdb_data/1c0o.cif	861595	88f872e12130bb52320fa3a1985528b73a0c76dd9d90ec1c1329ddf906173e9e	False
1C2W	/storage9920/home/tinghao.xia/pdb_data/1c2w.cif	7826986	b39d5d0628dd329de2ef34706b78b90def7bc1e7d32b4925eb8a69115fb3cf77	False
1C2X	/storage9920/home/tinghao.xia/pdb_data/1c2x.cif	313271	fff0708907b54ef5bc6ff683f2c51c39609b43a9c33a7839eeb15496f14fbd0c	False
1C4L	/storage9920/home/tinghao.xia/pdb_data/1c4l.cif	82849	126f3d6fa61daae24347c0d79b0adf68c8fd08909525b6aaa33067f171b881c4	False
1CQ5	/storage9920/home/tinghao.xia/pdb_data/1cq5.cif	165120	803a90ebdb18f8abe258b800691fa8607ab9eb4fe1c8b831557ff7fca1ec612d	False
1CQL	/storage9920/home/tinghao.xia/pdb_data/1cql.cif	1291093	587c03a9173559c16fa8c49637cb4a560de53f9248907a290858985fab770078	False
1CSL	/storage9920/home/tinghao.xia/pdb_data/1csl.cif	114854	26bb96ce069b9f3b0580378c3b3508a7e983c9595cde8f6f26513d1ad573eb5d	False
1D0T	/storage9920/home/tinghao.xia/pdb_data/1d0t.cif	668283	482a337d4c172b8bd91ecaaf2f6eefc8f5a9b2fe227e0134011c0d43e59243b1	False
1D0U	/storage9920/home/tinghao.xia/pdb_data/1d0u.cif	1412588	a93d0af267804978c28a9148acf2c7ac06f4864aca130687785da606d1cf741b	False
1D4R	/storage9920/home/tinghao.xia/pdb_data/1d4r.cif	283497	b5459f456066111c756f61cdc14600ddef052b030858b44cd32de93744546d1e	False
1DDY	/storage9920/home/tinghao.xia/pdb_data/1ddy.cif	407613	865b3094f2b6b008645584dca302875d050de34ee3a619f705338332c032359a	False
1DQF	/storage9920/home/tinghao.xia/pdb_data/1dqf.cif	92910	37743c885779c0add4fa269717d829ab4b439ceb91b636ce6f7e0e1a496c52c3	False
1DQH	/storage9920/home/tinghao.xia/pdb_data/1dqh.cif	80815	1c081d5b6974e38f74c1bd7a14315b1a34a28a210136889d0c30dd5f1145adcd	False
1DUH	/storage9920/home/tinghao.xia/pdb_data/1duh.cif	162373	4ab5741b34c8426b6c66c47f3cb49660a2017638c9ce9cb32ec7aa0fb7d66463	False
1DUQ	/storage9920/home/tinghao.xia/pdb_data/1duq.cif	304489	3f9de8564f483ddc9024bd2b952a2e647fc12b552e305fb0ad3262f49aadb4aa	False
1E4P	/storage9920/home/tinghao.xia/pdb_data/1e4p.cif	1487308	39477c3572e4d42e49ea138fbb992fcbda3c4227c1e5cd2f493d8d80331cbe12	False
1E95	/storage9920/home/tinghao.xia/pdb_data/1e95.cif	1614615	cd0196e62bf54881ce68d70be8211960f802ef8358f459e1531e58b47359b7be	False
1EBQ	/storage9920/home/tinghao.xia/pdb_data/1ebq.cif	453146	64553e0443f3fe2d2db0572a568b14dbaff4f75ccff2b4d610e7266019450c26	False
1EBR	/storage9920/home/tinghao.xia/pdb_data/1ebr.cif	469049	ca92d819d3d4bf6a54aa772e510cc42b101e35c12db42682f1b8241b4541375b	False
1EBS	/storage9920/home/tinghao.xia/pdb_data/1ebs.cif	452737	a2ae7209ee92e6caf4ed0546d880c068f84cc65d306c3dcb58ae2f65beac6b20	False
1EHT	/storage9920/home/tinghao.xia/pdb_data/1eht.cif	1072877	ff3d05dd9e3d3a1a38b4cd17ccfa8d1741d20bff530b73d935103ac35342181a	False
1EHZ	/storage9920/home/tinghao.xia/pdb_data/1ehz.cif	254359	3021dd2b6461f850bb66d6748d3c22a5e1bb6cc891c625c15d793f38215b28ab	False
1EI2	/storage9920/home/tinghao.xia/pdb_data/1ei2.cif	1471113	0e76a2f7d9e1f0cc93ab979e873f169221e347c0edd7e9e5c15649326c6accec	False
1EKA	/storage9920/home/tinghao.xia/pdb_data/1eka.cif	73701	cb54171d98a448ae5bdebfc54adbcfff63b5bbdc2f7e07980b361da20d12bdff	False
1EKD	/storage9920/home/tinghao.xia/pdb_data/1ekd.cif	72558	4d533dae7f81d20e21e429e4c5b402fe7935dbd6ce476694bace1d0228ab416c	False
1ELH	/storage9920/home/tinghao.xia/pdb_data/1elh.cif	461837	ac25898df6bf8b99058e5fd970b510d03f0057b391729ff0db0bf864b3f12759	False
1ESH	/storage9920/home/tinghao.xia/pdb_data/1esh.cif	66435	63d35207d6ff79d8ddac8e9005225dd75739b68d25cf2290a96921644fe254ea	False
1ESY	/storage9920/home/tinghao.xia/pdb_data/1esy.cif	1206037	6c211623497d5d75c49096b55614e4ba082c7acfb789557739f5ab76fbd161cb	False
1ET4	/storage9920/home/tinghao.xia/pdb_data/1et4.cif	580532	48a19650506955cd3e03681adb306b736ee55d7bdaeca6cf44e5a553b4f5cb75	False
1EVV	/storage9920/home/tinghao.xia/pdb_data/1evv.cif	299160	6c866a091d1d7b754e95e1ea77c7f93d626befd06e1d4d55db4f283ff654fc37	False
1F1T	/storage9920/home/tinghao.xia/pdb_data/1f1t.cif	140877	a91c35aaf0ed8c21a301eaefdf208223c85f48a85b88b3cddf1866efb0a3abd9	False
1F27	/storage9920/home/tinghao.xia/pdb_data/1f27.cif	150131	45c728cabcaa5da41aaad4ffc19ab6a7db373392ace99d75d286729c4b4c4c68	False
1F5G	/storage9920/home/tinghao.xia/pdb_data/1f5g.cif	1528988	5ceeeaf530324b36cd5c340ee4a2a9d4abde76ef5f62b348c7031a640791f882	False
1F5H	/storage9920/home/tinghao.xia/pdb_data/1f5h.cif	1525901	1f91842cf7b301314c796e9bd0233adc05e7e35e2fc68826ed9327bcf43eb8a8	False
1F5U	/storage9920/home/tinghao.xia/pdb_data/1f5u.cif	137950	2dd935965630499535275ca8da63c53778963aac2ff78438da1b5de32da751cf	False
1F6X	/storage9920/home/tinghao.xia/pdb_data/1f6x.cif	108168	8da6dae60ed409be5d424d3d894774c4e2bdd80bd1574440602a9162315d6103	False
1F6Z	/storage9920/home/tinghao.xia/pdb_data/1f6z.cif	107964	6f971f2dddae5c08874566f9363cd4a66d238022d9ae6d43678075eff96d3dea	False
1F78	/storage9920/home/tinghao.xia/pdb_data/1f78.cif	119772	1930b6bbf27a7e2823038ff57f4c5185a98c3832e7c35385ad9ab717e269a023	False
1F79	/storage9920/home/tinghao.xia/pdb_data/1f79.cif	118638	3ad37e9e965111fb4148faa1e872b08353ae1d0055adc272f50f9c72cc548a93	False
1F7F	/storage9920/home/tinghao.xia/pdb_data/1f7f.cif	697786	fd5ba5f9b2c8cec83c5d421274e0c5fae8bb75a8955d0b8f144da040cfeb2e46	False
1F7G	/storage9920/home/tinghao.xia/pdb_data/1f7g.cif	1312312	e789e739864847b13eafd01ebcc935ddd5eae953bb103aa2369a4a933db8c1ef	False
1F7H	/storage9920/home/tinghao.xia/pdb_data/1f7h.cif	939512	2518afef6fe29d67df2869c6806ea7c61e567c20cd871f4fe932daefbfbed6c5	False
1F7I	/storage9920/home/tinghao.xia/pdb_data/1f7i.cif	1009088	0c3192a4029de954ba4bdaa9cc71efb50a020109baa7333ae8f8e22cbec59d94	False
1F84	/storage9920/home/tinghao.xia/pdb_data/1f84.cif	2087294	8d93757552c9be46405750982e0633c595467f3c982439746027bdc4916ba322	False
